description,name,snaptoroads,geojson
ACCESO OESTE,CPMV001,,"{""type"":""Point"",""coordinates"":[-58.53846,-34.63427]}"
RIO DE LA PLATA,CPMV002,,"{""type"":""Point"",""coordinates"":[-58.53014,-34.63367]}"
RIACHUELO,CPMV003,,"{""type"":""Point"",""coordinates"":[-58.52988,-34.63688]}"
BARRAGAN,CPMV004,,"{""type"":""Point"",""coordinates"":[-58.52275,-34.63688]}"
RIVADAVIA,CPMV005,,"{""type"":""Point"",""coordinates"":[-58.49662,-34.63631]}"
BRAGADO,CPMV006,,"{""type"":""Point"",""coordinates"":[-58.49009,-34.64285]}"
LACARRA,CPMV007,,"{""type"":""Point"",""coordinates"":[-58.46709,-34.6516]}"
CAMBIESES,CPMV008,,"{""type"":""Point"",""coordinates"":[-58.4652,-34.64952]}"
ESCALADA,CPMV009,,"{""type"":""Point"",""coordinates"":[-58.47063,-34.65928]}"
RICCHIERI,CPMV010,,"{""type"":""Point"",""coordinates"":[-58.48366,-34.68524]}"
VARELA CENTRO,CPMV011,,"{""type"":""Point"",""coordinates"":[-58.45816,-34.64027]}"
VARELA PROVINCIA,CPMV012,,"{""type"":""Point"",""coordinates"":[-58.45793,-34.63972]}"
LAUTARO,CPMV013,,"{""type"":""Point"",""coordinates"":[-58.45295,-34.63647]}"
VIEL,CPMV014,,"{""type"":""Point"",""coordinates"":[-58.43055,-34.62933]}"
COLOMBRES,CPMV016,,"{""type"":""Point"",""coordinates"":[-58.41733,-34.62754]}"
CATAMARCA,CPMV017,,"{""type"":""Point"",""coordinates"":[-58.40306,-34.626]}"
ALBERTI,CPMV018,,"{""type"":""Point"",""coordinates"":[-58.3951,-34.62448]}"
SARANDI,CPMV019,,"{""type"":""Point"",""coordinates"":[-58.39368,-34.6239]}"
SOLIS,CPMV020,,"{""type"":""Point"",""coordinates"":[-58.38534,-34.62307]}"
9 DE JULIO,CPMV021,,"{""type"":""Point"",""coordinates"":[-58.38124,-34.61576]}"
LIMA,CPMV022,,"{""type"":""Point"",""coordinates"":[-58.38113,-34.61836]}"
FINOCCHETO,CPMV035,,"{""type"":""Point"",""coordinates"":[-58.37871,-34.62913]}"
BRANDSEN,CPMV036,,"{""type"":""Point"",""coordinates"":[-58.37661,-34.63819]}"
SUAREZ,CPMV037,,"{""type"":""Point"",""coordinates"":[-58.37669,-34.64039]}"
RIO CUARTO,CPMV039,,"{""type"":""Point"",""coordinates"":[-58.3738,-34.64959]}"
PUENTE PUEYRREDON,CPMV040,,"{""type"":""Point"",""coordinates"":[-58.37101,-34.65609]}"
CALIFORNIA,CPMV038,,"{""type"":""Point"",""coordinates"":[-58.37452,-34.64706]}"
9 DE JULIO SUR,CPMV023,,"{""type"":""Point"",""coordinates"":[-58.37974,-34.6253]}"
PASEO COLON,CPMV024,,"{""type"":""Point"",""coordinates"":[-58.37088,-34.62246]}"
PASEO COLON,CPMV025,,"{""type"":""Point"",""coordinates"":[-58.36759,-34.62226]}"
HUERGO,CPMV027,,"{""type"":""Point"",""coordinates"":[-58.36596,-34.62272]}"
SAN JUAN,CPMV026,,"{""type"":""Point"",""coordinates"":[-58.36697,-34.62201]}"
VENEZUELA,CPMV041,,"{""type"":""Point"",""coordinates"":[-58.38131,-34.6143]}"
GRAL PAZ,CPMV28,,"{""type"":""Point"",""coordinates"":[-58.46606,-34.53463]}"
Centro Naval,CPMV29,,"{""type"":""Point"",""coordinates"":[-58.4613,-34.53841]}"
Av. UDAONDO,CPMV30,,"{""type"":""Point"",""coordinates"":[-58.44712,-34.54425]}"
Av. FIGUEROA ALCORTA,CPMV31,,"{""type"":""Point"",""coordinates"":[-58.4378,-34.54921]}"
LA PAMPA,CPMV32,,"{""type"":""Point"",""coordinates"":[-58.43081,-34.55323]}"
Av. DORREGO,CPMV33,,"{""type"":""Point"",""coordinates"":[-58.41562,-34.56374]}"
Av. 9 de JULIO y JUNCAL,CPMV34,,"{""type"":""Point"",""coordinates"":[-58.38105,-34.5933]}"
