description;name;snaptoroads;geojson
;VPM4011;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.53155,-34.63466],[-58.53031,-34.63486],[-58.52964,-34.63493],[-58.52879,-34.63496],[-58.52835,-34.63497],[-58.52788,-34.63505],[-58.52735,-34.63518],[-58.5271,-34.63525],[-58.52684,-34.63533],[-58.52631,-34.63555],[-58.52576,-34.63578],[-58.52515,-34.63607],[-58.52467,-34.63631],[-58.52425,-34.63649],[-58.52387,-34.63664],[-58.52335,-34.6368],[-58.52281,-34.63691]]]}"
;VPM1012;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.52945,-34.63773],[-58.52944,-34.63732],[-58.52942,-34.63724],[-58.5294,-34.63695],[-58.5294,-34.63667],[-58.52941,-34.63625],[-58.5294,-34.63604],[-58.52936,-34.63583],[-58.52931,-34.63569],[-58.52922,-34.63554],[-58.52914,-34.63543],[-58.52902,-34.63531],[-58.52877,-34.63518]]]}"
;VPM1013;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.53053,-34.63414],[-58.53073,-34.63448],[-58.53083,-34.63484],[-58.53068,-34.63517],[-58.5304,-34.63542],[-58.52998,-34.63556],[-58.52973,-34.63556],[-58.52926,-34.63543],[-58.52901,-34.63527],[-58.52877,-34.63516],[-58.52851,-34.63508],[-58.52819,-34.63502]]]}"
;VPM4021;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.52947,-34.63773],[-58.52954,-34.6371],[-58.52961,-34.63637],[-58.52954,-34.63594],[-58.52951,-34.63564],[-58.52945,-34.63542],[-58.52937,-34.63522],[-58.52931,-34.63506],[-58.5293,-34.63495],[-58.5293,-34.63485],[-58.52931,-34.63475],[-58.52934,-34.63465],[-58.52948,-34.63448],[-58.52965,-34.63439],[-58.52983,-34.63432],[-58.53013,-34.63432],[-58.53059,-34.63439],[-58.5309,-34.6344],[-58.53141,-34.6344],[-58.53231,-34.63441]]]}"
;VPM1022;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.52719,-34.63502],[-58.52763,-34.63491],[-58.52805,-34.63484],[-58.52833,-34.63477],[-58.52858,-34.63467],[-58.52879,-34.63457],[-58.52896,-34.63448],[-58.52908,-34.63441],[-58.52922,-34.63428],[-58.52936,-34.63414],[-58.52947,-34.63394],[-58.52956,-34.6337]]]}"
;VPM4031;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.49545,-34.63683],[-58.49615,-34.63635],[-58.49693,-34.63594],[-58.49765,-34.63572],[-58.49853,-34.63558],[-58.49927,-34.63557],[-58.5003,-34.63568],[-58.50412,-34.63618],[-58.50578,-34.63625],[-58.50652,-34.6362],[-58.5077,-34.636],[-58.51007,-34.6353],[-58.51111,-34.6351],[-58.5118,-34.63504],[-58.51456,-34.63522],[-58.51595,-34.63541],[-58.51692,-34.63558],[-58.51809,-34.63585],[-58.52035,-34.63655],[-58.52092,-34.63668],[-58.52166,-34.63678],[-58.52229,-34.63679],[-58.5228,-34.63674]]]}"
;VPM4032;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.52277,-34.6369],[-58.52245,-34.63694],[-58.52212,-34.63695],[-58.52189,-34.63696],[-58.52166,-34.63694],[-58.52119,-34.63689],[-58.52002,-34.63663],[-58.5181,-34.63604],[-58.51693,-34.63575],[-58.51522,-34.63547],[-58.51351,-34.63528],[-58.51224,-34.6352],[-58.51128,-34.63523],[-58.51073,-34.63531],[-58.50976,-34.63555],[-58.50787,-34.63613],[-58.50717,-34.63626],[-58.50663,-34.63633],[-58.50607,-34.63639],[-58.50523,-34.6364],[-58.50439,-34.63636],[-58.50003,-34.63579],[-58.49924,-34.63573],[-58.49884,-34.63572],[-58.49845,-34.63574],[-58.49799,-34.63582],[-58.49754,-34.63592],[-58.49718,-34.63603],[-58.49699,-34.63609],[-58.49681,-34.63617],[-58.49658,-34.63627],[-58.49633,-34.63641],[-58.496,-34.63663],[-58.49567,-34.63689]]]}"
;VPM4041;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.49476,-34.63742],[-58.49489,-34.63723],[-58.49501,-34.63708],[-58.49514,-34.63693],[-58.49529,-34.63678],[-58.49553,-34.63658],[-58.49574,-34.63642],[-58.49593,-34.63629],[-58.49614,-34.63617],[-58.49631,-34.63607],[-58.49647,-34.63597]]]}"
;VPM4042;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.49564,-34.63708],[-58.49534,-34.63739],[-58.49443,-34.63855],[-58.49396,-34.63913],[-58.49346,-34.6397]]]}"
;VPM4051;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.49031,-34.64247],[-58.49094,-34.64194],[-58.49153,-34.64138],[-58.49194,-34.64101],[-58.49233,-34.64059],[-58.49306,-34.63977],[-58.49343,-34.63933],[-58.49379,-34.63886],[-58.49449,-34.63792],[-58.4949,-34.63741],[-58.49512,-34.63715],[-58.49537,-34.63689]]]}"
